"Order name","Product title","Product variant title","Gross sales","Quantity ordered"
"#36342","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Only Mihrab / Gold Mihrab / Medium",2226.4,10
"#37411",,,1090,1
"#36144","Alhamdulillah, Bismillah, MashAllah Arabic Islamic Tabletop Art Decor","All of Them / Gold / 12.8x3.2"" | 32x8 cm",1020,30
"#33807","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",718,2
"#36144","Alhamdulillah, Bismillah, MashAllah Arabic Islamic Tabletop Art Decor","All of Them / Silver / 12.8x3.2"" | 32x8 cm",680,20
"#34798","99 Names of Ya Allah (SWT) Wooden Acrylic Islamic Wall Art","Gold Acrylic / 30"" | 75 cm / 15 Pieces",659,1
"#35803","Ayatul Kursi, Surah Al Falaq, Surah An Nas | Islamic Wall Art Set, Shiny Metal","XXL: 36"" | 90 cm / In Silver Out Gold / Set of Three",619,1
"#35249","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Silver",607.34,2
"#36053","Metal Candle Holder with Masjid Motif - Islamic Home Decor","5.1x5.1x5.5"" | 13x13x14 cm / Matte Gold",576,12
"#33960","Islamic Decor Set of Two - Surah Al Falaq, Surah An Nas | Shiny Metal","36x40"" | 90x100 cm / In Silver Out Gold",570,1
"#35985","Mihrap Decor for Prayer Corners | Elegant & Timeless Design, Islamic Wall Art","52.4x70.9"" | 133x180 cm / Black",556,4
"#34656","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Silver",546.58,2
"#34656","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / White",546.58,2
"#34656","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",546.58,2
"#34656","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Black",546.58,2
"#34546","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Silver",538,2
"#33739","Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","40.2x33.9"" | 102x86 cm / Gold",519.8,2
"#33694","Ayatul Kursi, Surah Al Falaq, Surah An Nas | Islamic Wall Art Set, Shiny Metal","XL: 27.5"" | 70 cm / In Gold Out Silver / Set of Three",512.55,1
"#33913","Bismillah Metal Napkin Ornament Iftar & Eid Dinner Table Setting Decor","Black / 24 Ornaments / Arabic",490,10
"#33911","Ramadan Kareem Metal Napkin Ornament Iftar & Eid Table Setting Decor","Black / 24 Ornaments",490,10
"#34363","Ayatul Kursi, Surah Falaq&Nas | Metal Islamic Wall Art - Matte Set of 3","XXL / In Silver Out Gold / Set of Three",449,1
"#37262","Wooden Prayer Rug and Mat Holder and Quran Stand","Gold on Black",438,2
"#34535","Wooden Prayer Rug and Mat Holder and Quran Stand","Gold on Black",438,2
"#33807","Wooden Prayer Rug and Mat Holder and Quran Stand","Gold on Black",438,2
"#35206","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",419.51,1
"#35613","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Black Mihrab and Gold Extras / Large",419.46,1
"#34991","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Black Mihrab and Gold Extras / Large",419.44,1
"#33653","Handcarved Wooden Quran Stand - Islamic Gift | Quran Holder & Quran Rehal","Default Title",419.4,6
"#37140","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Black Mihrab and Gold Extras / Large",419.05,1
"#34656","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","33x24.4"" | 84x62 cm / Matte Gold",404.2,2
"#35612","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",403.14,1
"#34805","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",400.99,1
"#35424","Ayatul Kursi and Salawat Shiny Metal Islamic Wall Art","XXL : 36"" | 90 cm / In Shiny Gold Out Shiny Silver",399,1
"#37166","Palestine Mirror Map Wall Decor - Wood/Plexy Acrylic Shiny Wall Art","12.6x35.4"" | 32x90 cm / Silver Acrylic",396,4
"#34120","Kufic Calligraphy Decors | Surah Al Kafirun Al Ikhlas, Al Falaq, An Nas - Islamic Wall Art","All Set (set of 4) / Black / 26.8x26.8"" | 67x67 cm",390.29,1
"#35317","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Silver",389.84,1
"#34544","Allah Calligraphy Decor - Islamic Wall Art | Tempered Glass","35.4x13"" | 90x33 cm / Gold / Solid Black",377.96,2
"#37450","99 Names of Ya Allah (SWT) Wooden Acrylic Islamic Wall Art","Gold Acrylic / 30"" | 75 cm / 8 Pieces",374,1
