"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout"
"Product","/products/dua-for-entering-home-and-leaving-home-wood-key-holder",31735,37636,3512,1512,502
"Product","/products/asma-ul-husna-calligraphy-islamic-wall-art-decor",30899,35322,2026,576,176
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art",20113,24039,1839,821,261
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art-tulip",23710,27005,1560,508,141
"Product","/products/prayer-rug-holder-wooden",23281,26467,1524,358,76
"Product","/products/uv-print-palestine-map-wall-decor",19720,21864,1521,616,188
"Product","/products/islamic-gift-crescent-star-metal-islamic-home-decoration",16633,19557,1235,474,147
"Product","/products/start-with-bismillah-end-with-alhamdulillah-wooden-islamic-wall-art",8630,10085,1107,323,97
"Product","/products/set-of-glass-ayatul-kursi-surah-al-ikhlas-al-falaq-an-nas-tempered-glass-islamic-wall-art",10568,12531,796,256,49
"Product","/products/set-of-glass-4-dhikr-set-islamic-wall-art",11406,12531,759,274,71
"Product","/products/metal-mehrab-islamic-wall-art-set",14513,16503,740,228,63
"Product","/products/dua-for-barakah-metal-islamic-wall-art-decor",5403,6236,562,227,85
"Product","/products/surah-rahman-13-mihrab-metal-islamic-wall-art",7517,8443,526,174,37
"Product","/products/ahlul-bayt-wooden-islamic-wall-art",5330,5990,478,154,42
"Product","/products/al-asma-ul-husna-metal-wall-art-uv-printed",6938,8165,467,237,71
"Product","/products/subhanallah-alhamdulillah-allahuakbar-islamic-tabletop-decor",6429,7105,456,126,49
"Product","/products/sabr-shukr-dua-tawakkul-set-of-four-wooden-acrylic-islamic-wall-art-decor",5927,6560,439,142,48
"Product","/products/ayatul-kursi-calligraphy-large-metal-wall-art",3925,4742,387,203,70
"Product","/products/dua-of-prophet-yunus-with-translation-islamic-wall-art-glass-blue",5995,6972,376,105,16
"Product","/products/kufic-asma-ul-husna-99-names-of-allah-islamic-wall-art-decor",4600,5287,371,116,29
"Product","/products/special-islamic-gift-ramadan-decor-islamic-tabletop-art",4495,4836,368,113,25
"Product","/products/surah-ar-rahman-13th-verse-canvas-painting-islamic-wall-art",5715,6483,364,119,26
"Product","/products/4-quls-surah-al-falaq-an-nas-al-kafirun-al-ikhlas-wooden-islamic-wall-art",5686,6327,362,95,19
"Product","/products/hasbunallahu-wa-nimal-wakeel-metal-islamic-wall-art",5543,6417,356,111,21
"Product","/products/set-of-ayatul-kursi-surah-al-falaq-surah-an-nas-wood-islamic-wall-art",3365,4004,340,130,38
"Product","/products/zulfiqar-sword-necklace",4388,4952,340,203,33
"Product","/products/wooden-mihrab-islamic-wall-art-set",7097,7917,336,141,43
"Product","/products/barakah-dua-metal-islamic-wall-art",3359,3950,303,118,46
"Product","/products/set-of-ayatul-kursi-surah-ikhlas-surah-al-falaq-and-nas-wooden-islamic-wall-art",3202,3703,292,92,26
